               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.044723,             0.17808,                   0,             0.79494,             0.74585,             0.80791,             0.38994,            0.045104,              0.1992,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.044759,              0.1771,                   0,             0.79964,               0.745,             0.80954,             0.39149,            0.044911,             0.19817,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.044913,             0.17417,                   0,             0.79966,             0.74224,             0.80876,             0.39256,             0.04516,             0.19823,                   0,             0.00736,             0.00736,             0.00736
                  42,             0.04474,             0.17594,                   0,             0.79723,              0.7453,             0.81068,             0.39357,            0.044982,             0.19892,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.044608,             0.17341,                   0,             0.80022,             0.74424,             0.80976,             0.39301,            0.044835,             0.19752,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.044548,             0.17235,                   0,             0.81077,             0.74565,             0.81499,             0.39788,            0.044697,             0.19786,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.044564,             0.17253,                   0,             0.80493,             0.75047,             0.81356,             0.39356,            0.044858,             0.19797,                   0,            0.007096,            0.007096,            0.007096
                  46,             0.04393,             0.17175,                   0,             0.81092,             0.74246,             0.81344,             0.39566,              0.0447,             0.19754,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.044543,             0.17644,                   0,             0.80752,              0.7463,             0.81285,             0.39354,            0.044901,             0.19707,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.044182,             0.17278,                   0,             0.80793,             0.74833,              0.8135,             0.39624,            0.044775,             0.19755,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.044099,             0.17422,                   0,             0.80217,             0.74813,             0.81313,             0.39758,            0.044666,             0.19787,                   0,            0.006832,            0.006832,            0.006832
