               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.048405,             0.19107,                   0,             0.78505,             0.69319,             0.77433,             0.36258,            0.047213,             0.20598,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.048454,             0.19038,                   0,             0.78021,             0.69205,             0.77155,             0.35976,             0.04708,             0.20628,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.048479,             0.18688,                   0,             0.77954,             0.69917,             0.77637,             0.36213,            0.047241,             0.20636,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.048349,             0.18867,                   0,             0.77985,             0.69922,             0.77688,             0.36335,            0.047105,             0.20592,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.048284,             0.18621,                   0,              0.7795,             0.69575,             0.77357,             0.36195,            0.047144,             0.20626,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.048208,             0.18528,                   0,             0.78557,              0.7025,             0.78057,              0.3657,            0.047012,             0.20677,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.048258,             0.18581,                   0,              0.7798,             0.70243,             0.77773,             0.36434,            0.047022,             0.20678,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.047658,             0.18524,                   0,             0.78774,              0.6999,             0.77962,             0.36355,            0.047011,             0.20499,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.048189,             0.19007,                   0,              0.7885,             0.69835,             0.78043,              0.3663,            0.046911,             0.20495,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.047975,             0.18657,                   0,             0.78504,             0.70037,             0.77956,             0.36499,            0.047009,             0.20563,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.047834,             0.18807,                   0,             0.78448,             0.70056,             0.77949,             0.36432,             0.04697,             0.20595,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.047796,             0.18452,                   0,             0.78133,             0.70282,             0.78202,             0.36727,            0.046801,              0.2047,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.047475,              0.1853,                   0,             0.78851,             0.70136,             0.78251,             0.36953,            0.046686,             0.20494,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.047413,             0.18488,                   0,              0.7785,             0.70524,             0.77628,             0.36526,            0.046942,             0.20561,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.047965,             0.18532,                   0,             0.78312,             0.70346,             0.77901,             0.36787,            0.046802,             0.20512,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.047356,              0.1815,                   0,             0.78699,               0.702,             0.77867,             0.36546,            0.046948,             0.20521,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.047584,             0.18447,                   0,              0.7889,             0.70203,             0.78029,             0.36986,             0.04679,             0.20514,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.047504,             0.18671,                   0,             0.78359,             0.70798,             0.78235,             0.36943,             0.04683,             0.20523,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.047436,             0.18297,                   0,             0.78744,              0.7051,             0.78078,             0.36816,            0.046849,             0.20484,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.047247,             0.18495,                   0,             0.78956,             0.70823,             0.78524,             0.37089,            0.046759,             0.20509,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.047321,              0.1846,                   0,             0.78735,             0.71529,             0.78722,             0.37153,            0.046745,             0.20606,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.047325,             0.18245,                   0,             0.79033,             0.70466,             0.78435,             0.37153,            0.046721,             0.20464,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.047318,             0.18366,                   0,             0.79074,             0.70423,             0.78313,             0.37016,            0.046833,             0.20501,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.047067,             0.18105,                   0,             0.78835,             0.70647,             0.78133,             0.37046,            0.046754,             0.20565,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.047109,             0.18193,                   0,             0.79471,             0.70569,             0.78603,             0.37237,            0.046676,             0.20496,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.047113,             0.18236,                   0,             0.78629,             0.71195,             0.78706,             0.37314,            0.046564,             0.20535,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.047357,             0.18198,                   0,             0.79131,             0.71017,             0.78647,             0.37261,            0.046717,             0.20405,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.04738,             0.18593,                   0,             0.79105,             0.70629,             0.78299,             0.37191,             0.04667,             0.20468,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.047222,             0.18082,                   0,              0.7872,             0.71195,             0.78488,             0.37195,            0.046689,             0.20521,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.047322,             0.18379,                   0,             0.79346,             0.70574,             0.78555,             0.37241,             0.04662,             0.20415,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.047088,             0.18365,                   0,             0.77986,             0.71473,             0.78456,             0.37241,            0.046581,             0.20524,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.047157,             0.18192,                   0,             0.78665,             0.71063,             0.78385,             0.36983,            0.046641,             0.20472,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.047135,             0.18122,                   0,             0.78619,             0.71204,              0.7869,             0.37284,            0.046521,             0.20378,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.047296,             0.18415,                   0,             0.79915,             0.70912,             0.78733,             0.37366,            0.046613,             0.20393,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.047144,             0.18379,                   0,             0.79128,             0.71359,             0.78713,              0.3736,            0.046558,             0.20354,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.046973,             0.18242,                   0,             0.79395,             0.71434,              0.7885,             0.37339,            0.046539,             0.20362,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.047174,             0.18385,                   0,             0.79127,             0.71605,             0.78876,             0.37557,            0.046488,             0.20351,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.047094,              0.1825,                   0,             0.79057,             0.71487,              0.7875,             0.37334,            0.046445,              0.2042,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.047105,             0.18211,                   0,             0.79421,             0.71217,             0.78831,             0.37544,            0.046503,             0.20351,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.046601,             0.17879,                   0,             0.78872,             0.71888,             0.78927,              0.3758,            0.046432,             0.20437,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.046759,             0.18075,                   0,             0.79718,             0.71227,             0.79011,             0.37547,            0.046373,             0.20367,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.046693,             0.18315,                   0,             0.79764,             0.71884,             0.79251,             0.37716,            0.046368,             0.20341,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.046562,             0.18284,                   0,             0.79167,             0.72262,             0.79373,             0.37878,            0.046383,             0.20346,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.046567,             0.18113,                   0,             0.79828,             0.71519,             0.79204,             0.37718,            0.046341,             0.20367,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.046387,             0.17968,                   0,             0.79481,             0.71801,             0.79291,             0.37755,            0.046315,             0.20327,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.046872,             0.18473,                   0,             0.79925,             0.71646,               0.794,              0.3763,            0.046383,             0.20374,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.046599,             0.18072,                   0,             0.79586,             0.72206,             0.79275,             0.37671,            0.046395,             0.20405,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.046699,             0.18232,                   0,             0.79841,             0.71855,              0.7931,             0.37876,            0.046318,             0.20346,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.046853,             0.18071,                   0,             0.79774,             0.71985,              0.7932,             0.37829,            0.046233,             0.20372,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.046748,             0.18123,                   0,              0.7947,             0.72445,              0.7958,              0.3796,            0.046199,             0.20343,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.046333,             0.17799,                   0,             0.79796,             0.71842,             0.79385,             0.37977,            0.046373,             0.20339,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.046763,             0.18263,                   0,             0.80167,             0.71774,             0.79342,             0.37932,             0.04629,             0.20298,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.046431,             0.18143,                   0,             0.79157,             0.72322,              0.7932,             0.37884,             0.04631,             0.20302,                   0,             0.00406,             0.00406,             0.00406
                  92,             0.04643,             0.17939,                   0,             0.79685,             0.71556,             0.79268,             0.37926,            0.046176,             0.20299,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.046572,             0.18236,                   0,             0.79837,             0.72232,             0.79612,             0.37939,            0.046206,             0.20308,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.046585,             0.18144,                   0,             0.80379,             0.72518,             0.79928,             0.38233,            0.046193,             0.20347,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.046381,              0.1801,                   0,             0.79624,             0.72232,             0.79426,             0.38028,            0.046253,              0.2032,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.046433,              0.1781,                   0,             0.79713,              0.7203,             0.79454,             0.38054,             0.04625,             0.20261,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.046025,             0.18118,                   0,             0.80112,             0.72755,             0.79991,              0.3831,            0.046142,             0.20321,                   0,            0.003664,            0.003664,            0.003664
                  98,             0.04634,             0.18192,                   0,             0.80424,             0.72477,             0.79875,             0.38207,            0.046193,             0.20298,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.046393,             0.18248,                   0,             0.79824,             0.72226,             0.79544,             0.38008,            0.046167,             0.20292,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.046288,              0.1795,                   0,             0.79714,             0.72897,              0.7988,             0.38265,            0.046151,              0.2032,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.046052,             0.18195,                   0,             0.80498,             0.72486,             0.79831,             0.38325,            0.046095,             0.20267,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.046227,             0.17956,                   0,             0.79798,             0.72664,              0.7984,             0.38278,             0.04607,             0.20243,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.046227,             0.17912,                   0,             0.80023,             0.72376,             0.79735,             0.38184,            0.046116,             0.20254,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.046293,             0.17878,                   0,             0.80628,              0.7229,             0.79927,             0.38223,            0.046129,             0.20306,                   0,            0.003202,            0.003202,            0.003202
                 105,             0.04622,             0.17927,                   0,             0.80401,             0.72064,             0.79925,             0.38329,            0.046151,             0.20229,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.046208,             0.17974,                   0,             0.80834,             0.72062,             0.79709,             0.38132,            0.046151,             0.20244,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.046061,             0.17877,                   0,              0.8054,             0.72436,             0.79897,             0.38215,            0.046102,             0.20261,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.046205,             0.18107,                   0,             0.79802,             0.72965,             0.80165,             0.38419,            0.046093,             0.20244,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.046071,              0.1784,                   0,             0.80089,             0.72845,             0.79972,             0.38256,            0.046049,             0.20226,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.046368,              0.1807,                   0,             0.80623,             0.72525,             0.80077,             0.38337,            0.046032,             0.20238,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.046417,             0.18372,                   0,             0.79803,             0.72773,             0.79942,             0.38442,            0.046004,             0.20243,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.045959,              0.1812,                   0,             0.79913,             0.73012,              0.8008,             0.38419,            0.046027,             0.20236,                   0,            0.002674,            0.002674,            0.002674
