               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.051709,             0.20164,                   0,             0.75928,             0.65039,             0.73653,             0.32955,            0.049085,             0.21314,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.051723,             0.20041,                   0,              0.7601,             0.65235,              0.7369,             0.32869,            0.049106,             0.21282,                   0,            0.007426,            0.007426,            0.007426
                  41,             0.05176,             0.19691,                   0,             0.76346,             0.65066,             0.73697,             0.32919,            0.049092,             0.21342,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.051692,             0.19905,                   0,             0.75787,             0.66066,             0.74105,             0.33279,            0.049148,             0.21264,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.051627,              0.1967,                   0,             0.75795,             0.65249,             0.73655,             0.33084,            0.048973,             0.21225,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.051537,             0.19573,                   0,             0.76328,             0.65578,             0.74136,              0.3329,            0.049037,             0.21186,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.051658,             0.19621,                   0,               0.752,             0.65924,             0.74039,             0.33072,            0.048925,             0.21241,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.050989,             0.19575,                   0,             0.75755,             0.65438,             0.73751,              0.3292,            0.049111,             0.21152,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.051622,             0.20096,                   0,             0.76501,             0.65532,             0.74106,             0.33223,            0.048943,             0.21159,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.051403,             0.19697,                   0,             0.76025,              0.6597,             0.74026,             0.33166,            0.049002,             0.21226,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.051217,             0.19887,                   0,              0.7624,             0.65577,             0.74226,             0.33308,            0.048822,             0.21195,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.051215,             0.19559,                   0,             0.76183,             0.66377,             0.74554,             0.33564,             0.04879,             0.21215,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.050907,             0.19591,                   0,             0.76578,             0.66206,              0.7453,             0.33444,            0.048799,             0.21194,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.050846,             0.19579,                   0,             0.75956,             0.66032,             0.74285,             0.33366,            0.048882,             0.21157,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.051509,              0.1962,                   0,             0.76562,             0.66422,             0.74911,             0.33776,            0.048667,             0.21217,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.050756,             0.19222,                   0,             0.75915,             0.65427,             0.74006,             0.33131,            0.048936,             0.21159,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.051005,              0.1953,                   0,              0.7593,             0.66758,              0.7479,             0.33659,            0.048737,             0.21155,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.050891,             0.19784,                   0,             0.76082,             0.65149,             0.74009,             0.33387,            0.048793,              0.2118,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.050858,             0.19404,                   0,             0.76693,             0.65193,              0.7399,             0.33336,            0.048937,             0.21171,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.050791,             0.19638,                   0,             0.76648,             0.66391,             0.74826,             0.33658,            0.048704,             0.21153,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.050731,             0.19572,                   0,             0.76192,             0.66928,             0.74881,             0.33873,            0.048667,             0.21219,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.050801,              0.1937,                   0,             0.76316,             0.66595,             0.74781,              0.3385,            0.048711,             0.21151,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.050823,              0.1948,                   0,             0.77017,             0.65626,             0.74702,             0.33657,            0.048774,             0.21141,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.050585,              0.1923,                   0,             0.76024,             0.66513,             0.74415,             0.33635,            0.048781,             0.21215,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.050623,             0.19327,                   0,             0.76505,             0.66709,             0.75011,             0.34007,            0.048664,             0.21082,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.050656,              0.1939,                   0,             0.75981,             0.67061,             0.74855,             0.33914,            0.048497,             0.21162,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.050839,             0.19319,                   0,             0.76937,              0.6628,             0.75144,             0.33957,            0.048485,             0.21114,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.050937,             0.19782,                   0,             0.76467,             0.66821,             0.74843,             0.33746,            0.048748,             0.21142,                   0,             0.00571,             0.00571,             0.00571
