               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.042014,             0.16677,                   0,              0.8277,             0.77859,             0.82929,             0.41975,            0.043537,             0.19291,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.042105,             0.16589,                   0,             0.83247,             0.76908,             0.83068,             0.42244,            0.043211,             0.19168,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.042159,              0.1629,                   0,             0.83923,             0.76888,             0.83399,             0.42138,            0.043429,             0.19124,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.041957,             0.16422,                   0,             0.83545,             0.77847,             0.83531,             0.42509,              0.0433,             0.19097,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.041754,             0.16167,                   0,             0.83647,             0.77929,             0.83544,             0.42746,            0.043183,             0.19018,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.041679,             0.16066,                   0,             0.83944,             0.77929,             0.84051,             0.42979,            0.043124,             0.19052,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.041634,             0.16112,                   0,             0.83606,             0.78047,             0.83982,             0.42899,            0.043041,              0.1897,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.041089,              0.1597,                   0,             0.84264,             0.78116,             0.83985,             0.42863,            0.043198,             0.19009,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.041563,             0.16412,                   0,             0.84294,               0.779,             0.83673,              0.4275,            0.043113,             0.18956,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.041258,             0.16054,                   0,             0.83417,             0.77993,             0.83683,             0.42737,            0.043212,             0.18952,                   0,            0.006898,            0.006898,            0.006898
                  49,             0.04111,             0.16152,                   0,             0.84459,             0.77911,             0.84124,             0.43331,            0.042889,             0.18916,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.041044,              0.1584,                   0,              0.8443,             0.78787,             0.84117,             0.43352,            0.042918,             0.18857,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.040696,             0.15858,                   0,              0.8538,             0.78107,              0.8458,             0.43871,            0.042554,             0.18873,                   0,              0.0067,              0.0067,              0.0067
